ID,Time,API Call ID,Function Name,Demangled Name,Device Name,SOL SM [%],SOL Memory [%]
0,2021-Jul-08 18:51:33,116,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.80,46.77
1,2021-Jul-08 18:51:33,124,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,13.11,51.29
2,2021-Jul-08 18:51:33,132,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,23.68,53.78
3,2021-Jul-08 18:51:34,140,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,39.66,47.13
4,2021-Jul-08 18:51:34,148,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,54.77,39.47
5,2021-Jul-08 18:51:34,156,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,60.44,43.62
6,2021-Jul-08 18:51:35,164,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.16,46.04
7,2021-Jul-08 18:51:35,172,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,21.00,50.76
8,2021-Jul-08 18:51:35,180,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,39.99,50.86
9,2021-Jul-08 18:51:36,188,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,55.43,41.20
10,2021-Jul-08 18:51:36,196,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,70.32,51.16
11,2021-Jul-08 18:51:36,204,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,60.12,43.39
12,2021-Jul-08 18:51:37,212,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,15.38,39.70
13,2021-Jul-08 18:51:37,220,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,29.38,40.37
14,2021-Jul-08 18:51:37,228,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,57.59,46.04
15,2021-Jul-08 18:51:38,236,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,72.44,54.41
16,2021-Jul-08 18:51:38,244,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,70.57,51.34
17,2021-Jul-08 18:51:38,252,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,60.15,43.41
18,2021-Jul-08 18:51:38,260,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,17.22,25.56
19,2021-Jul-08 18:51:39,268,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,35.47,32.52
20,2021-Jul-08 18:51:39,276,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,71.24,57.64
21,2021-Jul-08 18:51:39,284,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,72.83,54.70
22,2021-Jul-08 18:51:40,292,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,70.53,51.31
23,2021-Jul-08 18:51:40,300,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,60.25,43.47
24,2021-Jul-08 18:51:40,308,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,18.37,20.94
25,2021-Jul-08 18:51:41,316,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,37.44,34.86
26,2021-Jul-08 18:51:41,324,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,71.22,57.64
27,2021-Jul-08 18:51:41,332,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,73.07,54.88
28,2021-Jul-08 18:51:42,340,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,70.06,50.96
29,2021-Jul-08 18:51:42,348,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,60.16,43.42
30,2021-Jul-08 18:51:42,356,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,18.50,21.57
31,2021-Jul-08 18:51:43,364,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,37.83,35.23
32,2021-Jul-08 18:51:43,372,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,71.40,57.78
33,2021-Jul-08 18:51:43,380,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,73.11,54.92
34,2021-Jul-08 18:51:44,388,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,70.20,51.07
35,2021-Jul-08 18:51:44,396,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,60.12,43.39
36,2021-Jul-08 18:51:44,404,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.64,80.00
37,2021-Jul-08 18:51:45,412,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.47,91.01
38,2021-Jul-08 18:51:45,420,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.02,89.89
39,2021-Jul-08 18:51:45,428,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,14.72,88.72
40,2021-Jul-08 18:51:46,436,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,22.82,88.92
41,2021-Jul-08 18:51:46,444,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,36.24,81.50
42,2021-Jul-08 18:51:46,452,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.30,71.01
43,2021-Jul-08 18:51:47,460,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.71,81.11
44,2021-Jul-08 18:51:47,468,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,14.62,91.35
45,2021-Jul-08 18:51:47,476,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,22.16,90.57
46,2021-Jul-08 18:51:48,484,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,36.53,86.79
47,2021-Jul-08 18:51:48,492,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,57.59,72.76
48,2021-Jul-08 18:51:48,500,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.23,78.77
49,2021-Jul-08 18:51:49,508,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,13.46,87.07
50,2021-Jul-08 18:51:49,516,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,21.25,91.12
51,2021-Jul-08 18:51:49,524,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,35.67,89.88
52,2021-Jul-08 18:51:50,532,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,63.84,85.53
53,2021-Jul-08 18:51:50,540,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,60.96,43.81
54,2021-Jul-08 18:51:50,548,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,12.53,83.86
55,2021-Jul-08 18:51:51,556,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,20.15,90.71
56,2021-Jul-08 18:51:51,564,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,33.90,90.61
57,2021-Jul-08 18:51:51,572,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,62.58,89.48
58,2021-Jul-08 18:51:52,580,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,69.31,50.14
59,2021-Jul-08 18:51:52,588,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,68.65,49.68
60,2021-Jul-08 18:51:52,596,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,17.66,83.35
61,2021-Jul-08 18:51:53,604,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,31.32,88.92
62,2021-Jul-08 18:51:53,612,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,59.66,91.34
63,2021-Jul-08 18:51:53,620,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,71.77,54.49
64,2021-Jul-08 18:51:54,628,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,79.54,58.00
65,2021-Jul-08 18:51:54,636,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,70.02,50.73
66,2021-Jul-08 18:51:54,644,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,23.66,71.45
67,2021-Jul-08 18:51:55,652,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,44.69,73.72
68,2021-Jul-08 18:51:55,660,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,71.94,58.67
69,2021-Jul-08 18:51:55,668,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,82.45,62.01
70,2021-Jul-08 18:51:55,676,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,81.46,59.48
71,2021-Jul-08 18:51:56,684,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,70.06,50.76
72,2021-Jul-08 18:51:57,692,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.30,82.64
73,2021-Jul-08 18:51:57,700,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.61,96.40
74,2021-Jul-08 18:51:58,708,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.96,98.14
75,2021-Jul-08 18:51:58,716,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.34,97.96
76,2021-Jul-08 18:51:58,724,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.96,95.37
77,2021-Jul-08 18:51:59,732,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.96,97.20
78,2021-Jul-08 18:51:59,740,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.59,73.89
79,2021-Jul-08 18:52:00,748,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.47,82.07
80,2021-Jul-08 18:52:00,756,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.31,98.24
81,2021-Jul-08 18:52:01,764,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.97,96.52
82,2021-Jul-08 18:52:01,772,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.85,98.26
83,2021-Jul-08 18:52:02,780,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,15.34,97.67
84,2021-Jul-08 18:52:02,788,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.58,83.53
85,2021-Jul-08 18:52:02,796,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.72,92.60
86,2021-Jul-08 18:52:03,804,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.91,97.02
87,2021-Jul-08 18:52:03,812,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.65,98.53
88,2021-Jul-08 18:52:04,820,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,15.01,98.52
89,2021-Jul-08 18:52:04,828,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,21.92,97.33
90,2021-Jul-08 18:52:05,836,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.73,93.15
91,2021-Jul-08 18:52:05,844,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.86,97.66
92,2021-Jul-08 18:52:06,852,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.40,98.35
93,2021-Jul-08 18:52:06,860,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,14.54,98.53
94,2021-Jul-08 18:52:06,868,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,21.20,98.27
95,2021-Jul-08 18:52:07,876,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,35.23,97.51
96,2021-Jul-08 18:52:07,884,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.64,96.36
97,2021-Jul-08 18:52:08,892,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.20,98.44
98,2021-Jul-08 18:52:08,900,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,14.13,98.78
99,2021-Jul-08 18:52:09,908,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,20.32,98.50
100,2021-Jul-08 18:52:09,916,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,33.72,98.50
101,2021-Jul-08 18:52:09,924,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,57.01,86.91
102,2021-Jul-08 18:52:10,932,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,10.78,96.44
103,2021-Jul-08 18:52:10,940,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,13.67,98.57
104,2021-Jul-08 18:52:11,948,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,19.49,98.85
105,2021-Jul-08 18:52:11,956,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,31.94,98.69
106,2021-Jul-08 18:52:12,964,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,58.56,94.74
107,2021-Jul-08 18:52:12,972,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,61.22,50.07
108,2021-Jul-08 18:52:18,980,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.74,76.94
109,2021-Jul-08 18:52:20,988,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.13,92.69
110,2021-Jul-08 18:52:22,996,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.72,99.16
111,2021-Jul-08 18:52:23,1004,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.77,99.16
112,2021-Jul-08 18:52:25,1012,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.38,93.84
113,2021-Jul-08 18:52:26,1020,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.02,98.95
114,2021-Jul-08 18:52:28,1028,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,6.10,69.51
115,2021-Jul-08 18:52:34,1036,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.12,81.03
116,2021-Jul-08 18:52:37,1044,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.77,98.86
117,2021-Jul-08 18:52:39,1052,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.60,96.48
118,2021-Jul-08 18:52:42,1060,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.04,99.40
119,2021-Jul-08 18:52:44,1068,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.43,99.61
120,2021-Jul-08 18:52:47,1076,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,7.23,82.23
121,2021-Jul-08 18:52:49,1084,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.02,90.81
122,2021-Jul-08 18:52:51,1092,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.61,96.69
123,2021-Jul-08 18:52:52,1100,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.00,99.22
124,2021-Jul-08 18:52:54,1108,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.38,99.61
125,2021-Jul-08 18:52:56,1116,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,10.15,99.60
126,2021-Jul-08 18:52:58,1124,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.16,92.49
127,2021-Jul-08 18:53:00,1132,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.63,97.07
128,2021-Jul-08 18:53:01,1140,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.99,99.34
129,2021-Jul-08 18:53:03,1148,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.33,99.61
130,2021-Jul-08 18:53:05,1156,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,10.07,99.69
131,2021-Jul-08 18:53:07,1164,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.56,99.64
132,2021-Jul-08 18:53:08,1172,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.51,95.82
133,2021-Jul-08 18:53:10,1180,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.96,99.33
134,2021-Jul-08 18:53:12,1188,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.28,99.57
135,2021-Jul-08 18:53:13,1196,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.96,99.57
136,2021-Jul-08 18:53:15,1204,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.39,99.77
137,2021-Jul-08 18:53:17,1212,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,14.34,99.75
138,2021-Jul-08 18:53:18,1220,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,8.67,96.28
139,2021-Jul-08 18:53:20,1228,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.18,98.93
140,2021-Jul-08 18:53:22,1236,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,9.87,99.63
141,2021-Jul-08 18:53:23,1244,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,11.20,99.74
142,2021-Jul-08 18:53:25,1252,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,13.91,99.77
143,2021-Jul-08 18:53:27,1260,sumKernel,"void sumKernel<float>(float*, float*, int)",NVIDIA Tesla V100-PCIE-16GB,20.10,99.67
